French,Korean
partie,부분
histoire,역사
chercher,찾다
seulement,뿐
police,경찰
pensais,생각
aide,돕다
demande,요구
genre,친절한
mois,월
frère,형제
laisser,허락하다
car,왜냐하면
mettre,놓다
aucun,어느
laisse,혼자 떠나라
eux,그들을
ville,도시
chaque,각
parlé,말하다
arrivé,오다
devrait,~해야한다
bébé,아기
longtemps,장기
heures,시각
vont,예정
pendant,~ 동안
revoir,다시 만나다
aucune,어느
place,정사각형
parle,말하다
compris,이해했다
savais,알았다
étaient,~이었다
attention,경고
voici,여기 있습니다
pourrais,~ 할 수 있었다
affaire,사례
donner,주다
type,유형
leurs,그들의
donné,주어진
train,기차
corps,몸
endroit,장소
yeux,눈
façon,방법
écoute,듣다
dont,그건
trouve,찾기
premier,첫 번째
perdu,잃어버린
main,손
première,첫 번째
côté,옆
pouvoir,힘
vieux,늙은
sois,be
tiens,가져 가다
matin,아침
tellement,너무 많이
enfant,아이
point,가리키다
venu,왔다
suite,수행원
pardon,죄송 해요
venez,오다
devant,~ 전에
vers,...쪽으로
minutes,분
demandé,요구
chambre,방
mis,놓다
belle,아름다운
droit,오른쪽
aimerais,하고 싶다
aujourd'hui,오늘
mari,남편
cause,원인
enfin,마지막으로
espère,희망
eau,물
attendez,기다리다
parti,왼쪽
nouvelle,소식
boulot,작살
arrêter,멈추다
dirait,말하자
terre,지구
compte,계정
donne,주어진
loin,멀리
fin,끝
croire,믿기
chérie,~에게
gros,크기가 큰
plutôt,꽤
aura,가질거야
filles,여자애들
jouer,놀기
bureau,책상